name,host_id,borough,neighbourhood,latitude,longitude,room_type,price,minimum_nights
Brand New Private Studio,338850187,Bronx,Schuylerville,40.83756000000000341287886840291321277618408203125,-73.8352399999999988722265698015689849853515625,Entire home/apt,84,1
Dream night 2 bedroom condo,481248312,Brooklyn,East Flatbush,40.6591700000000031423041946254670619964599609375,-73.927040000000005193214747123420238494873046875,Entire home/apt,160,1
Spacious 5BR/2BA in Prime Midtown! Best Location!,391891939,Manhattan,Hell's Kitchen,40.76124999999999687361196265555918216705322265625,-73.9925300000000021327650756575167179107666015625,Entire home/apt,400,1
3 bedroom apartment in Brooklyn,455683614,Brooklyn,Bedford-Stuyvesant,40.67942000000000035697667044587433338165283203125,-73.943659999999994170138961635529994964599609375,Entire home/apt,300,1
Studio apartment perfect for family and friends,481029866,Bronx,Norwood,40.88206316376288640412894892506301403045654296875,-73.88372249901294708251953125,Entire home/apt,143,1
2 bed 1 bath with Washer/dryer in unit,37459618,Manhattan,East Village,40.72930370000000266372808255255222320556640625,-73.981446599999998170460457913577556610107421875,Entire home/apt,339,1
Newly Renovated Clean 1 Bedroom Apt - free parking,399569723,Bronx,Eastchester,40.87803999999999859937815926969051361083984375,-73.8392500000000069348971010185778141021728515625,Entire home/apt,150,1
"The Crown Heights BK Palace, 3rd floor",439378297,Brooklyn,Bedford-Stuyvesant,40.6775200000000012323653209023177623748779296875,-73.924890000000004874891601502895355224609375,Entire home/apt,170,1
Spacious 1 Bedroom in West Chelsea,29859280,Manhattan,Chelsea,40.74678000000000110958353616297245025634765625,-74.0028199999999998226485331542789936065673828125,Entire home/apt,390,1
Queens Haunted House w/ Escape Room Themes-JFK/UBS,486718434,Queens,Queens Village,40.709584799999987581031746231019496917724609375,-73.746119300000003704553819261491298675537109375,Entire home/apt,179,1
Cozy 2 Bedroom apartment in a Brownstone House,446908191,Brooklyn,Cypress Hills,40.6873671000000030062437872402369976043701171875,-73.87214829999999210485839284956455230712890625,Entire home/apt,125,1
Charming Spacious 1 bedroom apt,276933704,Manhattan,Hell's Kitchen,40.76498380699231205426258384250104427337646484375,-73.987798579037189483642578125,Entire home/apt,314,1
Gramercy style meets modern,32368779,Brooklyn,Bedford-Stuyvesant,40.6822229859682096275719231925904750823974609375,-73.918653155012094657649868167936801910400390625,Entire home/apt,134,1
Penthouse Pleasure’s,490663172,Manhattan,Harlem,40.81617044324864451709800050593912601470947265625,-73.954365557386125828998046927154064178466796875,Entire home/apt,400,1
The Grand Hall | Host Your Private Event,47633041,Queens,St. Albans,40.69080999999999903593561612069606781005859375,-73.763900000000006684786058031022548675537109375,Entire home/apt,1643,1
Luxury 1 Bedroom Apartment,276365271,Brooklyn,Canarsie,40.641109999999997626218828372657299041748046875,-73.8852700000000055524651543237268924713134765625,Entire home/apt,250,1
3BR Brooklyn APT-Few StepsTrainStation.15MinJFK,138831526,Brooklyn,Cypress Hills,40.679519999999996571204974316060543060302734375,-73.8838899999999938472683425061404705047607421875,Entire home/apt,150,1
3 Bedroom Central Park West,490856120,Manhattan,Upper West Side,40.7994561000000004469256964512169361114501953125,-73.959726899999992610901244916021823883056640625,Entire home/apt,218,1
Stunning NYC Views Luxury Apt,16444337,Brooklyn,Williamsburg,40.71931000000000011596057447604835033416748046875,-73.96300999999999703504727222025394439697265625,Entire home/apt,599,1
Dream Yacht on the Hudson River,36063879,Manhattan,Inwood,40.8678400000000010550138540565967559814453125,-73.9314700000000044610715121962130069732666015625,Entire home/apt,349,1
Perfect location Heart of Times Square Apartment !,473152486,Manhattan,Hell's Kitchen,40.7625900000000029876900953240692615509033203125,-73.9895499999999941564965411089360713958740234375,Entire home/apt,279,1
Studio Accessible Apt w/Kitchen,176950173,Manhattan,Midtown,40.764690000000001646185410209000110626220703125,-73.9744699999999966166797094047069549560546875,Entire home/apt,402,1
Lovely 3 bed/1 bath Bushwick Oasis,65611806,Brooklyn,Bushwick,40.69738000000000255340637522749602794647216796875,-73.9148200000000059617377701215445995330810546875,Entire home/apt,306,1
"3 blocks from Central Park, near Broadway",481639634,Manhattan,Hell's Kitchen,40.7667799999999971305442159064114093780517578125,-73.983440000000001646185410209000110626220703125,Entire home/apt,133,1
NYC Brownstone's Entire Garden Floor Guest Suite,197826997,Manhattan,East Harlem,40.80716000000000320824256050400435924530029296875,-73.9415999999999939973349682986736297607421875,Entire home/apt,170,1
Lovely 1 bedroom with outdoor patio and fireplace.,480790832,Manhattan,Chelsea,40.74882000000000203954186872579157352447509765625,-74.0032599999999973761077853851020336151123046875,Entire home/apt,446,1
Cozy 1-bedroom suite in private house,129396046,Brooklyn,East New York,40.66714999999999946567186270840466022491455078125,-73.88862000000000307409209199249744415283203125,Entire home/apt,110,1
The cozy hideaway NEST!,480770456,Brooklyn,East New York,40.6724200000000024601831682957708835601806640625,-73.8759299999999967667463351972401142120361328125,Entire home/apt,105,1
Lovely one bedroom rental in Brooklyn/ extra beds.,480702161,Brooklyn,Prospect-Lefferts Gardens,40.65465999999999979763742885552346706390380859375,-73.9616400000000027148416847921907901763916015625,Entire home/apt,167,1
2br Home-30min to JFK+Full Kitchen- Fast Wi-fi,333057838,Brooklyn,East Flatbush,40.63347999999999871079126023687422275543212890625,-73.9233300000000070895112003199756145477294921875,Entire home/apt,168,1
Gorgeous Triplex w/ Roof Deck - Luxury 5 Star Stay,148272313,Manhattan,Kips Bay,40.74560999999999921783455647528171539306640625,-73.978309999999993351593730039894580841064453125,Entire home/apt,1265,1
Great One Bedroom Apartment Next Empire State #4,177174475,Manhattan,Midtown,40.748390000000000554791768081486225128173828125,-73.986570000000000391082721762359142303466796875,Entire home/apt,131,1
lovely 1-bedroom unit in the bronx near subway,480027395,Bronx,Bronxdale,40.85681000000000295813151751644909381866455078125,-73.8643900000000002137312549166381359100341796875,Entire home/apt,150,1
Cozy Loft in heart of Brooklyn,480252588,Brooklyn,Flatbush,40.650430000000000063664629124104976654052734375,-73.9585000000000007958078640513122081756591796875,Entire home/apt,224,1
Apartment in Clinton Hill,424741639,Brooklyn,Clinton Hill,40.6866399999999970304997987113893032073974609375,-73.9632399999999989859134075231850147247314453125,Entire home/apt,120,1
Modern two bedroom apartment with rooftop.,480385047,Brooklyn,Bedford-Stuyvesant,40.68003359072428537501764367334544658660888671875,-73.90866438465576493399566970765590667724609375,Entire home/apt,119,1
Cheerful 3 Bedrooms 20 min to Manhattan,413485013,Queens,Rego Park,40.72887999999999664169081370346248149871826171875,-73.8595499999999987039700499735772609710693359375,Entire home/apt,388,1
